Temperature,Pressure,Methane,Nitrogen,M1_conc,M2_conc,Salttype,D_change,Phase,IFT
71,6.14,0,0,1.5,1.5,NaClCaCl,1.0279,LIQUID,50.42
71,7.55,0,0,1.5,1.5,NaClCaCl,0.9869,SC,46.94
71,10.04,0,0,1.5,1.5,NaClCaCl,0.903,SC,41.81
70.9,13.95,0,0,1.5,1.5,NaClCaCl,0.7051,SC,37.92
70.9,17.92,0,0,1.5,1.5,NaClCaCl,0.5408,SC,35.8
71.1,21.06,0,0,1.5,1.5,NaClCaCl,0.4811,SC,35.36
71,24.88,0,0,1.5,1.5,NaClCaCl,0.4204,SC,35.12
100,6.19,0,0,0.045,0.045,NaClCaCl,0.86873,LIQUID,40.17
99.9,7.47,0,0,0.045,0.045,NaClCaCl,0.84381,SC,38.34
99.9,9.93,0,0,0.045,0.045,NaClCaCl,0.78917,SC,35.13
99.9,13.93,0,0,0.045,0.045,NaClCaCl,0.68017,SC,31.84
100,18.08,0,0,0.045,0.045,NaClCaCl,0.55544,SC,29.41
99.8,20.99,0,0,0.045,0.045,NaClCaCl,0.4784,SC,28.62
99.9,25.22,0,0,0.045,0.045,NaClCaCl,0.39456,SC,27.49
100,5.18,0,0,0.5,0.5,NaClCaCl,0.941715,LIQUID,47.51
100.1,6.08,0,0,0.5,0.5,NaClCaCl,0.92525,LIQUID,46.13
100.1,7.73,0,0,0.5,0.5,NaClCaCl,0.89243,SC,43.23
99.9,10,0,0,0.5,0.5,NaClCaCl,0.84081,SC,39.64
100,14.09,0,0,0.5,0.5,NaClCaCl,0.72803,SC,35.11
100,17.88,0,0,0.5,0.5,NaClCaCl,0.61304,SC,32.36
99.9,21,0,0,0.5,0.5,NaClCaCl,0.52984,SC,31.46
100,24.93,0,0,0.5,0.5,NaClCaCl,0.45068,SC,29.87
99.9,5.21,0,0,1,1,NaClCaCl,0.99542,LIQUID,47.92
100.1,6.14,0,0,1,1,NaClCaCl,0.97807,LIQUID,46.57
100,7.58,0,0,1,1,NaClCaCl,0.94931,SC,44.79
100,10.05,0,0,1,1,NaClCaCl,0.89287,SC,41.2
100,14.06,0,0,1,1,NaClCaCl,0.78156,SC,37.42
100,18.15,0,0,1,1,NaClCaCl,0.65739,SC,34.62
100,21.05,0,0,1,1,NaClCaCl,0.58102,SC,32.87
100.1,25.12,0,0,1,1,NaClCaCl,0.49941,SC,31.5
100.1,5.04,0,0,1.5,1.5,NaClCaCl,1.0475,LIQUID,53.65
99.9,6.09,0,0,1.5,1.5,NaClCaCl,1.0282,LIQUID,50.42
99.9,7.49,0,0,1.5,1.5,NaClCaCl,1.0001,SC,47.21
100,10.09,0,0,1.5,1.5,NaClCaCl,0.9407,SC,43.02
99.9,14.02,0,0,1.5,1.5,NaClCaCl,0.8311,SC,40.04
99.8,18.07,0,0,1.5,1.5,NaClCaCl,0.7073,SC,36.72
100,20.89,0,0,1.5,1.5,NaClCaCl,0.633,SC,35.57
100,24.81,0,0,1.5,1.5,NaClCaCl,0.5525,SC,35.07
20,2,0,0,0,0,Water,,GAS,62.4
25,2,0,0,0,0,Water,,GAS,62.1
26,2,0,0,0,0,Water,,GAS,61.8
28,2,0,0,0,0,Water,,GAS,62
30,2,0,0,0,0,Water,,GAS,62.1
32,2,0,0,0,0,Water,,LIQUID,62.5
34,2,0,0,0,0,Water,,LIQUID,61.5
35,2,0,0,0,0,Water,,LIQUID,62.1
36,2,0,0,0,0,Water,,LIQUID,64.9
41,2,0,0,0,0,Water,,LIQUID,65.2
60,2,0,0,0,0,Water,,LIQUID,66.6
75,2,0,0,0,0,Water,,LIQUID,66.9
100,2,0,0,0,0,Water,,LIQUID,67.7
125,2,0,0,0,0,Water,,LIQUID,68.1
20,4,0,0,0,0,Water,,GAS,43.5
25,4,0,0,0,0,Water,,GAS,45.1
26,4,0,0,0,0,Water,,GAS,45.6
28,4,0,0,0,0,Water,,GAS,46.1
30,4,0,0,0,0,Water,,GAS,48.2
32,4,0,0,0,0,Water,,LIQUID,49.1
34,4,0,0,0,0,Water,,LIQUID,38.2
35,4,0,0,0,0,Water,,LIQUID,39.3
36,4,0,0,0,0,Water,,LIQUID,39.6
41,4,0,0,0,0,Water,,LIQUID,42.9
60,4,0,0,0,0,Water,,LIQUID,52.9
75,4,0,0,0,0,Water,,LIQUID,53.2
